"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"UEDL9KPG","journalArticle","2012","Vogel, Christine; Marcotte, Edward M.","Insights into the regulation of protein abundance from proteomic and transcriptomic analyses","Nature Reviews Genetics","","1471-0056, 1471-0064","10.1038/nrg3185","https://www.nature.com/articles/nrg3185","","2012-04","2026-03-01 04:13:06","2026-03-01 04:13:06","2026-03-01 04:13:06","227-232","","4","13","","Nat Rev Genet","","","","","","","","en","http://www.springer.com/tdm","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3A5ITBKE","journalArticle","2000","Ashburner, Michael; Ball, Catherine A.; Blake, Judith A.; Botstein, David; Butler, Heather; Cherry, J. Michael; Davis, Allan P.; Dolinski, Kara; Dwight, Selina S.; Eppig, Janan T.; Harris, Midori A.; Hill, David P.; Issel-Tarver, Laurie; Kasarskis, Andrew; Lewis, Suzanna; Matese, John C.; Richardson, Joel E.; Ringwald, Martin; Rubin, Gerald M.; Sherlock, Gavin","Gene Ontology: tool for the unification of biology","Nature Genetics","","1061-4036, 1546-1718","10.1038/75556","https://www.nature.com/articles/ng0500_25","","2000-05","2026-03-01 04:13:46","2026-03-01 04:13:46","2026-03-01 04:13:46","25-29","","1","25","","Nat Genet","Gene Ontology","","","","","","","en","http://www.springer.com/tdm","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6AHXPIDI","journalArticle","2021","Wu, Tianzhi; Hu, Erqiang; Xu, Shuangbin; Chen, Meijun; Guo, Pingfan; Dai, Zehan; Feng, Tingze; Zhou, Lang; Tang, Wenli; Zhan, Li; Fu, Xiaocong; Liu, Shanshan; Bo, Xiaochen; Yu, Guangchuang","clusterProfiler 4.0: A universal enrichment tool for interpreting omics data","The Innovation","","26666758","10.1016/j.xinn.2021.100141","https://linkinghub.elsevier.com/retrieve/pii/S2666675821000667","","2021-08","2026-03-01 04:18:17","2026-03-01 04:18:17","2026-03-01 04:18:17","100141","","3","2","","The Innovation","clusterProfiler 4.0","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\angel\Zotero\storage\E4V6Y4R7\Wu et al. - 2021 - clusterProfiler 4.0 A universal enrichment tool for interpreting omics data.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4XE6EIU5","preprint","2016","Korotkevich, Gennady; Sukhov, Vladimir; Budin, Nikolay; Shpak, Boris; Artyomov, Maxim N.; Sergushichev, Alexey","Fast gene set enrichment analysis","","","","10.1101/060012","http://biorxiv.org/lookup/doi/10.1101/060012","Abstract           Gene set enrichment analysis (GSEA) is an ubiquitously used tool for evaluating pathway enrichment in transcriptional data. Typical experimental design consists in comparing two conditions with several replicates using a differential gene expression test followed by preranked GSEA performed against a collection of hundreds and thousands of pathways. However, the reference implementation of this method cannot accurately estimate small P-values, which significantly limits its sensitivity due to multiple hypotheses correction procedure.                        Here we present FGSEA (Fast Gene Set Enrichment Analysis) method that is able to estimate arbitrarily low GSEA P-values with a high accuracy in a matter of minutes or even seconds. To confirm the accuracy of the method, we also developed an exact algorithm for GSEA P-values calculation for integer gene-level statistics. Using the exact algorithm as a reference we show that FGSEA is able to routinely estimate P-values up to 10             −100             with a small and predictable estimation error. We systematically evaluate FGSEA on a collection of 605 datasets and show that FGSEA recovers much more statistically significant pathways compared to other implementations.                                   FGSEA is open source and available as an R package in Bioconductor (             http://bioconductor.org/packages/fgsea/             ) and on GitHub (             https://github.com/ctlab/fgsea/             ).","2016-06-20","2026-03-01 04:18:47","2026-03-01 04:18:47","2026-03-01 04:18:47","","","","","","","","","","","","Bioinformatics","","en","http://creativecommons.org/licenses/by/4.0/","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4HIMUGET","journalArticle","2016","Ewels, Philip; Magnusson, Måns; Lundin, Sverker; Käller, Max","MultiQC: summarize analysis results for multiple tools and samples in a single report","Bioinformatics","","1367-4811, 1367-4803","10.1093/bioinformatics/btw354","https://academic.oup.com/bioinformatics/article/32/19/3047/2196507","Abstract             Motivation: Fast and accurate quality control is essential for studies involving next-generation sequencing data. Whilst numerous tools exist to quantify QC metrics, there is no common approach to flexibly integrate these across tools and large sample sets. Assessing analysis results across an entire project can be time consuming and error prone; batch effects and outlier samples can easily be missed in the early stages of analysis.             Results: We present MultiQC, a tool to create a single report visualising output from multiple tools across many samples, enabling global trends and biases to be quickly identified. MultiQC can plot data from many common bioinformatics tools and is built to allow easy extension and customization.             Availability and implementation: MultiQC is available with an GNU GPLv3 license on GitHub, the Python Package Index and Bioconda. Documentation and example reports are available at http://multiqc.info             Contact:  phil.ewels@scilifelab.se","2016-10-01","2026-03-01 04:24:56","2026-03-01 04:24:56","2026-03-01 04:24:56","3047-3048","","19","32","","","MultiQC","","","","","","","en","http://creativecommons.org/licenses/by/4.0/","","","","DOI.org (Crossref)","","","","C:\Users\angel\Zotero\storage\DID2AZCZ\Ewels et al. - 2016 - MultiQC summarize analysis results for multiple tools and samples in a single report.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UR23NVAC","journalArticle","1977","Lam, K B; Marmur, J","Isolation and characterization of Saccharomyces cerevisiae glycolytic pathway mutants","Journal of Bacteriology","","0021-9193, 1098-5530","10.1128/jb.130.2.746-749.1977","https://journals.asm.org/doi/10.1128/jb.130.2.746-749.1977","Yeast strains carrying recessive mutations representing four different loci that cause defects in pyruvate kinase, pyruvate decarboxylase, 3-phosphoglycerate kinase, and 3-phosphoglycerate mutase were isolated and partially characterized. Cells carrying these mutations were unable to use glucose as a carbon source as measured in turbidimetric growth experiments. Tetrad analysis indicated that these mutations were not linked to each other; one of the mutations, that affecting phosphoglycerate kinase, was located on chromosome III.","1977-05","2026-03-02 03:47:07","2026-03-02 03:47:07","2026-03-02 03:47:07","746-749","","2","130","","J Bacteriol","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\angel\Zotero\storage\D5BI2ELD\Lam and Marmur - 1977 - Isolation and characterization of Saccharomyces cerevisiae glycolytic pathway mutants.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S6LBQ2MG","journalArticle","2014","Linck, Annabell; Vu, Xuan-Khang; Essl, Christine; Hiesl, Charlotte; Boles, Eckhard; Oreb, Mislav","On the role of GAPDH isoenzymes during pentose fermentation in engineered <i>Saccharomyces cerevisiae</i>","FEMS Yeast Research","","15671356","10.1111/1567-1364.12137","https://academic.oup.com/femsyr/article-lookup/doi/10.1111/1567-1364.12137","","2014-05","2026-03-02 03:57:35","2026-03-02 03:57:35","2026-03-02 03:57:35","389-398","","3","14","","FEMS Yeast Res","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CNDLY83B","journalArticle","1988","Weininger, David","SMILES, a chemical language and information system. 1. Introduction to methodology and encoding rules","Journal of Chemical Information and Computer Sciences","","0095-2338, 1520-5142","10.1021/ci00057a005","https://pubs.acs.org/doi/abs/10.1021/ci00057a005","","1988-02-01","2026-03-02 23:03:15","2026-03-02 23:03:15","2026-03-02 23:03:15","31-36","","1","28","","J. Chem. Inf. Comput. Sci.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BXQI5QGU","journalArticle","2014","Sharpton, Thomas J.","An introduction to the analysis of shotgun metagenomic data","Frontiers in Plant Science","","1664-462X","10.3389/fpls.2014.00209","http://journal.frontiersin.org/article/10.3389/fpls.2014.00209/abstract","","2014-06-16","2026-03-08 03:54:16","2026-03-08 03:54:16","2026-03-08 03:54:16","","","","5","","Front. Plant Sci.","","","","","","","","","","","","","DOI.org (Crossref)","","","","C:\Users\angel\Zotero\storage\UCKNFSM6\Sharpton - 2014 - An introduction to the analysis of shotgun metagenomic data.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZYE4BKRQ","journalArticle","2019","De Filippis, Francesca; Pasolli, Edoardo; Tett, Adrian; Tarallo, Sonia; Naccarati, Alessio; De Angelis, Maria; Neviani, Erasmo; Cocolin, Luca; Gobbetti, Marco; Segata, Nicola; Ercolini, Danilo","Distinct Genetic and Functional Traits of Human Intestinal Prevotella copri Strains Are Associated with Different Habitual Diets","Cell Host & Microbe","","19313128","10.1016/j.chom.2019.01.004","https://linkinghub.elsevier.com/retrieve/pii/S1931312819300411","","2019-03","2026-03-08 03:56:51","2026-03-08 03:56:51","2026-03-08 03:56:51","444-453.e3","","3","25","","Cell Host & Microbe","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\angel\Zotero\storage\TLQWKK9G\De Filippis et al. - 2019 - Distinct Genetic and Functional Traits of Human Intestinal Prevotella copri Strains Are Associated w.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M9A4J57A","journalArticle","2021","Hu, Biying; Huang, Shaoying; Yin, Lianghong","The cytokine storm and COVID‐19","Journal of Medical Virology","","0146-6615, 1096-9071","10.1002/jmv.26232","https://onlinelibrary.wiley.com/doi/10.1002/jmv.26232","Abstract             Coronavirus disease 2019 (COVID‐19), which began in Wuhan, China, in December 2019, has caused a large global pandemic and poses a serious threat to public health. More than 4 million cases of COVID‐19, which is caused by the severe acute respiratory syndrome coronavirus 2 (SARS‐CoV‐2), have been confirmed as of 11 May 2020. SARS‐CoV‐2 is a highly pathogenic and transmissible coronavirus that primarily spreads through respiratory droplets and close contact. A growing body of clinical data suggests that a cytokine storm is associated with COVID‐19 severity and is also a crucial cause of death from COVID‐19. In the absence of antivirals and vaccines for COVID‐19, there is an urgent need to understand the cytokine storm in COVID‐19. Here, we have reviewed the current understanding of the features of SARS‐CoV‐2 and the pathological features, pathophysiological mechanisms, and treatments of the cytokine storm induced by COVID‐19. In addition, we suggest that the identification and treatment of the cytokine storm are important components for rescuing patients with severe COVID‐19.           ,              Highlights                                                                SARS‐CoV‐2 is a highly pathogenic and transmissible coronavirus that primarily spreads through respiratory droplets and close contact.                                                     A cytokine storm is associated with COVID‐19 severity and is also a crucial cause of death from COVID‐19.                                                     Impaired acquired immune responses and uncontrolled inflammatory innate responses may be associated with the mechanism of the cytokine storm in COVID‐19.                                                     Early control of the cytokine storm through therapies, such as immunomodulators and cytokine antagonists, is essential to improve the survival rate of patients with COVID‐19.","2021-01","2026-03-12 19:33:31","2026-03-12 19:33:31","2026-03-12 19:33:31","250-256","","1","93","","Journal of Medical Virology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\angel\Zotero\storage\9QYG63WL\Hu et al. - 2021 - The cytokine storm and COVID‐19.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D6SW9BI4","journalArticle","2021","Gao, Ya‐dong; Ding, Mei; Dong, Xiang; Zhang, Jin‐jin; Kursat Azkur, Ahmet; Azkur, Dilek; Gan, Hui; Sun, Yuan‐li; Fu, Wei; Li, Wei; Liang, Hui‐ling; Cao, Yi‐yuan; Yan, Qi; Cao, Can; Gao, Hong‐yu; Brüggen, Marie‐Charlotte; Van De Veen, Willem; Sokolowska, Milena; Akdis, Mübeccel; Akdis, Cezmi A.","Risk factors for severe and critically ill COVID‐19 patients: A review","Allergy","","0105-4538, 1398-9995","10.1111/all.14657","https://onlinelibrary.wiley.com/doi/10.1111/all.14657","Abstract             The pandemic of coronavirus disease 2019 (COVID‐19), caused by the severe acute respiratory syndrome coronavirus 2 (SARS‐CoV‐2), has caused an unprecedented global social and economic impact, and high numbers of deaths. Many risk factors have been identified in the progression of COVID‐19 into a severe and critical stage, including old age, male gender, underlying comorbidities such as hypertension, diabetes, obesity, chronic lung diseases, heart, liver and kidney diseases, tumors, clinically apparent immunodeficiencies, local immunodeficiencies, such as early type I interferon secretion capacity, and pregnancy. Possible complications include acute kidney injury, coagulation disorders, thoromboembolism. The development of lymphopenia and eosinopenia are laboratory indicators of COVID‐19. Laboratory parameters to monitor disease progression include lactate dehydrogenase, procalcitonin, high‐sensitivity C‐reactive protein, proinflammatory cytokines such as interleukin (IL)‐6, IL‐1β, Krebs von den Lungen‐6 (KL‐6), and ferritin. The development of a cytokine storm and extensive chest computed tomography imaging patterns are indicators of a severe disease. In addition, socioeconomic status, diet, lifestyle, geographical differences, ethnicity, exposed viral load, day of initiation of treatment, and quality of health care have been reported to influence individual outcomes. In this review, we highlight the scientific evidence on the risk factors of severity of COVID‐19.","2021-02","2026-03-12 19:33:46","2026-03-12 19:33:46","2026-03-12 19:33:46","428-455","","2","76","","Allergy","Risk factors for severe and critically ill COVID‐19 patients","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\angel\Zotero\storage\Q3PXF7E2\Gao et al. - 2021 - Risk factors for severe and critically ill COVID‐19 patients A review.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QU2AC3RY","journalArticle","2025","Vanderkamp, Sierra G.; Niazy, Maysa; Stegelmeier, Ashley A.; Stinson, Kevin J.; Ricker, Nicole; Bridle, Byram W.","Cytokine, chemokine, and acute-phase protein profiles in plasma as correlative biomarkers of clinical outcomes for patients with COVID-19","Scientific Reports","","2045-2322","10.1038/s41598-025-99248-6","https://www.nature.com/articles/s41598-025-99248-6","","2025-05-02","2026-03-12 19:34:22","2026-03-12 19:34:22","2026-03-12 19:34:22","15397","","1","15","","Sci Rep","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\angel\Zotero\storage\XIG3JM7R\Vanderkamp et al. - 2025 - Cytokine, chemokine, and acute-phase protein profiles in plasma as correlative biomarkers of clinica.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
